Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper,Unstable
Lyme Disease,California,2001,Total,90,34514777,0.261,0.21,0.321, 
Lyme Disease,California,2001,Female,49,17340743,0.283,0.209,0.374, 
Lyme Disease,California,2001,Male,40,17174034,0.233,0.166,0.317, 
Lyme Disease,California,2002,Total,92,34940334,0.263,0.212,0.323, 
Lyme Disease,California,2002,Female,42,17555714,0.239,0.172,0.323, 
Lyme Disease,California,2002,Male,50,17384620,0.288,0.213,0.379, 
Lyme Disease,California,2003,Total,77,35390986,0.218,0.172,0.272, 
Lyme Disease,California,2003,Female,35,17783924,0.197,0.137,0.274, 
Lyme Disease,California,2003,Male,42,17607062,0.239,0.172,0.322, 
Lyme Disease,California,2004,Total,51,35754827,0.143,0.106,0.188, 
Lyme Disease,California,2004,Female,22,17969405,0.122,0.077,0.185, 
Lyme Disease,California,2004,Male,29,17785422,0.163,0.109,0.234, 
Lyme Disease,California,2005,Total,97,35987637,0.27,0.219,0.329, 
Lyme Disease,California,2005,Female,54,18088355,0.299,0.224,0.39, 
Lyme Disease,California,2005,Male,43,17899282,0.24,0.174,0.324, 
Lyme Disease,California,2006,Total,86,36248870,0.237,0.19,0.293, 
Lyme Disease,California,2006,Female,38,18220429,0.209,0.148,0.286, 
Lyme Disease,California,2006,Male,48,18028441,0.266,0.196,0.353, 
Lyme Disease,California,2007,Total,90,36554575,0.246,0.198,0.303, 
Lyme Disease,California,2007,Female,47,18373955,0.256,0.188,0.34, 
Lyme Disease,California,2007,Male,43,18180620,0.237,0.171,0.319, 
Lyme Disease,California,2008,Total,69,36858270,0.187,0.146,0.237, 
Lyme Disease,California,2008,Female,33,18526603,0.178,0.123,0.25, 
Lyme Disease,California,2008,Male,36,18331667,0.196,0.138,0.272, 
Lyme Disease,California,2009,Total,102,37079253,0.275,0.224,0.334, 
Lyme Disease,California,2009,Female,53,18634031,0.284,0.213,0.372, 
Lyme Disease,California,2009,Male,48,18445222,0.26,0.192,0.345, 
Lyme Disease,California,2010,Total,89,37311439,0.239,0.192,0.294, 
Lyme Disease,California,2010,Female,36,18752748,0.192,0.134,0.266, 
Lyme Disease,California,2010,Male,51,18558691,0.275,0.205,0.361, 
Lyme Disease,California,2011,Total,106,37572186,0.282,0.231,0.341, 
Lyme Disease,California,2011,Female,46,18881056,0.244,0.178,0.325, 
Lyme Disease,California,2011,Male,55,18691131,0.294,0.222,0.383, 
Lyme Disease,California,2012,Total,81,37869573,0.214,0.17,0.266, 
Lyme Disease,California,2012,Female,32,19028077,0.168,0.115,0.237, 
Lyme Disease,California,2012,Male,49,18841496,0.26,0.192,0.344, 
Lyme Disease,California,2013,Total,116,38166117,0.304,0.251,0.365, 
Lyme Disease,California,2013,Female,54,19177344,0.282,0.212,0.367, 
Lyme Disease,California,2013,Male,62,18988773,0.327,0.25,0.419, 
Lyme Disease,California,2014,Total,73,38501494,0.19,0.149,0.238, 
Lyme Disease,California,2014,Female,40,19346905,0.207,0.148,0.282, 
